title,excerpt,content,collection,subcollection,folder,name,image_path
DIE LAUTLOSE KRAFT,"42 x 42cm, Schöpfpapier, mit Glitzer, in Holzrahmen, Fr. 780.-","Handgeschöpftes Papier, liebevoll veredelt mit Blüten und einem Hauch von Glitzer. 
Die eingearbeiteten, nostalgischen Valentino-Drucke entstammen einem einzigartigen Modebuch aus der  Herbst/Winter-Kollektion 1987/88. ",Schöpfpapier,,,IMG_0033.HEIC,
DIE FRÖHLICHE,"42 x 42cm, Schöpfpapier, mit Glitzer, in Holzrahmen, Fr. 780.-",,Schöpfpapier,,,IMG_0035.HEIC,
DIE VISIONÄRIN,"42 x 42cm, Schöpfpapier, mit Glitzer, in Holzrahmen, Fr. 780.-",,Schöpfpapier,,,IMG_0036.HEIC,
DIE SINNLICHE,"42 x 42cm, Schöpfpapier, mit Glitzer, in Holzrahmen, Fr. 780.-",,Schöpfpapier,,,IMG_0037.HEIC,
DIE WARMHERZIGE,"42 x 42cm, Schöpfpapier, mit Glitzer, in Holzrahmen, Fr. 780.-",,Schöpfpapier,,,IMG_0038.HEIC,
DIE ENTSCHLOSSENE,"42 x 42cm, Schöpfpapier, mit Glitzer, in Holzrahmen, Fr. 780.-",,Schöpfpapier,,,IMG_0039.HEIC,
DIE ZIELSTREBIGE,"42 x 42cm, Schöpfpapier, mit Glitzer, in Holzrahmen, Fr. 780.-",,Schöpfpapier,,,IMG_0040.HEIC,
DIE AUSGEGLICHENE,"42 x 42cm, Schöpfpapier, mit Glitzer, in Holzrahmen, Fr. 780.-",,Schöpfpapier,,,IMG_0043.HEIC,
DIE MUTIGE,"42 x 42cm, Schöpfpapier, mit Glitzer, in Holzrahmen, Fr. 780.-",,Schöpfpapier,,,IMG_0041.HEIC,
DIE SANFTE,"42 x 42cm, Schöpfpapier, mit Glitzer, in Holzrahmen, Fr. 780.-",,Schöpfpapier,,,IMG_0042.HEIC,
DIE EXPERIMENTELLE,"42 x 42cm, Schöpfpapier, mit Glitzer, in Holzrahmen, Fr. 780.-",,Schöpfpapier,,,IMG_0044.HEIC,
DIE MACHERIN,"42 x 42cm, Schöpfpapier, mit Glitzer, in Holzrahmen, Fr. 780.-",,Schöpfpapier,,,IMG_0045.HEIC,
DIE SIEGERIN,"42 x 42cm, Schöpfpapier, mit Glitzer, in Holzrahmen, Fr. 780.-",,Schöpfpapier,,,IMG_0046.HEIC,
DIE FURCHTLOSE,"42 x 42cm, Schöpfpapier, mit Glitzer, in Holzrahmen, Fr. 780.-",,Schöpfpapier,,,IMG_0047.HEIC,
DIE NATURVERBUNDENE,"42 x 42cm, Schöpfpapier, mit Glitzer, in Holzrahmen, Fr. 780.-",,Schöpfpapier,,,IMG_0159.HEIC,
,,,,,,,
,,,,,,,
CAN YOU HEAR IT?,"20 x 20cm, 2006, strukturiert, Mixed Media, Acryl auf Leinwand, Fr. 90.- Fr. 45.-",In der Stille der Muschel lebt das Echo der Weite.,Strukturiert,,,IMG_2749.JPG,
THE FACE,"20 x 20cm, 2006, strukturiert, Mixed Media, Acryl auf Leinwand, Fr. 90.- Fr. 45.-","Das Gesicht ist nicht bloss ein Bild. 
Es ist eine Landschaft.",Strukturiert,,,IMG_2750.JPG,
FEUER,"60 x 60cm, 2004, Mixed Media, Acryl und Lack auf Leinwand, 3D-Herz, Fr. 490.- Fr. 245.-","Feuer vernichtet das Alte und macht Raum für Neues. Es steht für den Moment, in dem man loslässt, um neu zu beginnen.",Strukturiert,,,IMG_3231.JPG,
FEUER WASSER ERDE LUFT,,,Strukturiert,,,IMG_4692.HEIC,
WASSER,"60 x 60cm, 2004, Acryl und Lack auf Leinwand, Licht reflektierend, Fr. 490.- Fr. 245.-","Wasser, ein reinigendes Element, beruhigt und Erinnert uns daran, wie gut es tut, mit dem Leben zu fliessen – beweglich, weich und kraftvoll.",Strukturiert,,,IMG_3232.JPG,
FEUER WASSER ERDE LUFT,,,Strukturiert,,,IMG_4692.HEIC,
ERDE,"60 x 60cm, 2004, Acryl auf Leinwand, Licht reflektierend, Fr. 490.- Fr. 245.-","Die Erde gibt uns Boden unter den Füssen, lässt uns durchatmen und bei uns ankommen.",Strukturiert,,,IMG_3233.JPG,
FEUER WASSER ERDE LUFT,,,Strukturiert,,,IMG_4692.HEIC,
LUFT,"60 x 60cm, 2004, Acryl auf Leinwand, strukturiert mit Federn und Glitzer, Fr. 490.- Fr. 245.-","Luft schenkt Weite – sie füllt uns mit Frische, Leichtigkeit und neuen Gedanken.",Strukturiert,,,IMG_3234.JPG,
FEUER WASSER ERDE LUFT,,,Strukturiert,,,IMG_4692.HEIC,
FEUER WASSER ERDE LUFT,,,Strukturiert,,,IMG_4692.HEIC,
GOLD,"60 x 80cm, 2012, strukturiert mit Sand und Steinen, 24 Karat Blattgold, Acryl auf Leinwand, Fr. 550.- Fr. 275.-",,Strukturiert,,,IMG_3160.JPG,
SILBER,"60 x 80cm, 2012, strukturiert mit Sand und Steinen, mit Perlmutt und Perlmuttstaub, Acryl auf Leinwand, Fr. 550.- Fr. 275.-",,Strukturiert,,,IMG_3161.JPG,
BRONZE,"60 x 80cm, 2012, strukturiert mit Sand und Steinen, Lack, und Acryl auf Leinwand, Fr. 550.- Fr. 275.-",,Strukturiert,,,IMG_3164.JPG,
CHAOTIC,"100 x 160cm, 2010, strukturiert mit Sand, Acryl und Lack auf Leinwand, Fr. 1900.- Fr. 950.-","Was für mich in einem Moment ekstatischer Schöpfung entstand, wirkt auf manche Betrachter beruhigend. Dies offenbart die grosse Bandbreite von Betrachtungsweisen.
Was siehst Du?",Strukturiert,,,IMG_8003.HEIC,
STROMBOLI BY NIGHT,"100 x 160cm, 2011, strukturiert mit Steinen, Acryl auf Leinwand, mit Sand vom Vulkan StromboliFr. 5200.-","Eine Reise nach Kalabrien, die unvergesslich bleibt.
Der Ausflug zu den umliegenden Inseln bei Kalabrien war eine Serie unerwarteter Wendungen. Zunächst das Boot, das kurz nach dem Ablegen in Schwierigkeiten geriet und uns auf einer der Inseln zum Warten zwang. Doch auch das Ersatzboot, das uns schließlich abholen sollte, setzte sich viel zu früh in Bewegung, ohne uns. Doch die zurück gebliebene Crew vom defekten Boot lud uns ein, an einer ""Nachttour auf Stromboli"" teilzunehmen. Die Rückreise in der späten Nacht, unter silbernem Vollmondhimmel, wurde zum unvergesslichen Erlebnis. Der Himmel schien mit uns zu sprechen, als der Vulkan Stromboli spuckte und im Dunkeln die rote Lava aufblitzte. ",Strukturiert,,,IMG_5593.HEIC,
CRUSHED CANS,"33 x 48cm, 2002, Mixed Media, Dosen auf Karton, Fr. 120.- Fr. 60.-","Zerdrückte Dosen – Der letzte Akt des Genusses.
Warum zerdrücken einige Menschen die Alu-Dose nach dem letzten Schluck?
Ist es Frust, weil sie leer ist?
Eine Gewohnheit? Oder weil es sich gut anfühlt?
Letztendlich wird jede Dose zu einem kleinen Kunstwerk.",Strukturiert,,,IMG_8013.HEIC,
BLITZGEDANKEN,"60 x 140cm, fluoreszierend, strukturiert mit Steinen, Acryl und Lack auf Leinwand, Fr. 1900.- Fr. 950.-","Geistesblitze tauchen plötzlich auf, unerwartet und kraftvoll. Sie durchzucken den Verstand wie ein kurzer Lichtschein im Dunkeln.
 
Genau so ist die Idee von diesem Kunstwerk entstanden. 
Dieses Bild ist fluoreszierend. Es leuchtet bei gelöschtem Licht, so wie eine Blitzidee in unseren Köpfen oft noch nachhellt.",Strukturiert,,,IMG_8008.HEIC,
BLITZGEDANKEN,,,,,,IMG_6847.HEIC,
FEEL THE NATUR,"100 x 160cm, strukturiert mit Sand und Steinen, Acryl, Goldstaub und Lack auf Leinwand, Fr. 3500.- Fr. 1750.-","Spüre die stille Kraft der Natur. Fließende Grüntöne und organische Formen werden sichtbar und laden Dich dazu ein, für einen Moment innezuhalten und die Ruhe, Freiheit sowie Lebendigkeit der natürlichen Welt bewusst wahr zu nehmen.",Strukturiert,,,Bildschirmfoto 2026-07-29 um 10.12.38.png,
,,,,,,,
,,,,,,,
WAVE,"100 x 160cm, 2005, Acryl auf Leinwand, Fr. 2800.-","Die trocken-in-trocken-Technik, wie bei diesem Bild angewendet, liess keine Pause zu.  So wie das Wasser niemals ruht, entstand dieses Kunstwerk über mehrere Stunden, an einem Stück.",Unstrukturiert,,,IMG_5598.PNG,
SANDDUNES,"60 x 80cm, 2005, Acryl auf Leinwand, Fr. 380.- Fr. 190.-","Sanddünen sind Landschaften in Bewegung – gezeichnet vom Wind, getragen von der Stille.",Unstrukturiert,,,IMG_8025.HEIC,
RAINBOW SWIFT,"(4er) 10 x10cm bis 30 x 30cm, 2005, Acryl auf Leinwand, Fr. 550.- Fr. 275.-","Der «Regenbogen Segler»:
Er gleitet wie ein Gedanken durch den Wind – leicht, lautlos, leuchtend.",Unstrukturiert,,,IMG_7989.HEIC,
WATER FLOWER,"100 x 160cm, Mixed Media, Acryl auf Leinwand, Fr. 1900.-","Eine Blume, die im Wasser schwebt. Zart wie der Hauch des Windes, ruhig wie der Atem des Sees.
Das Bild lädt ein, den Fluss des Lebens zu beobachten und die eigene innere Ruhe zu finden und zu geniessen.",Unstrukturiert,,,IMG_6876.jpg,
